word,unified_rank,moe_level,ngsl_rank
blackboard,384,1,0
blouse,385,1,0
boil,386,1,0
bookcase,387,1,0
borrow,388,1,0
brace,389,1,0
brassierebra,390,1,0
bravery,391,1,0
brunch,392,1,0
bucket,393,1,0
buffet,394,1,0
bun,395,1,0
businessperson,396,1,0
cabbage,397,1,0
cafeteria,398,1,0
capitalist,399,1,0
careless,400,1,0
carrot,401,1,0
cellphone,402,1,0
centimeter,403,1,0
cereal,404,1,0
chairperson,405,1,0
chalk,406,1,0
cheek,407,1,0
cheer,408,1,0
cheerful,409,1,0
childish,410,1,0
childlike,411,1,0
chin,412,1,0
chopstick,413,1,0
clap,414,1,0
classmate,415,1,0
clever,416,1,0
closet,417,1,0
cockroach,418,1,0
coke,419,1,0
cola,420,1,0
colorful,421,1,0
comb,422,1,0
complain,423,1,0
conceive,424,1,0
conception,425,1,0
confucius,426,1,0
confuse,427,1,0
congratulation,428,1,0
convict,429,1,0
convince,430,1,0
couch,431,1,0
cough,432,1,0
countryside,433,1,0
cousin,434,1,0
coxhead,435,1,0
crab,436,1,0
crayon,437,1,0
crocodile,438,1,0
crowded,439,1,0
cruel,440,1,0
cruelty,441,1,0
curtain,442,1,0
decorate,443,1,0
dentist,444,1,0
depress,445,1,0
derive,446,1,0
dessert,447,1,0
diligent,448,1,0
dinosaur,449,1,0
diplomat,450,1,0
disappear,451,1,0
disapprove,452,1,0
disastrous,453,1,0
discouragement,454,1,0
dishonest,455,1,0
dizzy,456,1,0
dolphin,457,1,0
donkey,458,1,0
doughnut,459,1,0
downstairs,460,1,0
drawer,461,1,0
dresser,462,1,0
drift,463,1,0
drugstore,464,1,0
dumpling,465,1,0
eighteen,466,1,0
eighty,467,1,0
embarrass,468,1,0
embrace,469,1,0
emotion,470,1,0
emphasize,471,1,0
envy,472,1,0
eraser,473,1,0
eternity,474,1,0
examinationexam,475,1,0
excite,476,1,0
faction,477,1,0
fade,478,1,0
faint,479,1,0
faithful,480,1,0
fashionable,481,1,0
faucet,482,1,0
fisherman,483,1,0
flashlight,484,1,0
flourish,485,1,0
flute,486,1,0
folklore,487,1,0
foolish,488,1,0
foreigner,489,1,0
forgive,490,1,0
forthcoming,491,1,0
fourteen,492,1,0
freezer,493,1,0
frighten,494,1,0
frisbee,495,1,0
fry,496,1,0
fuss,497,1,0
gesture,498,1,0
glove,499,1,0
glue,500,1,0
goodbye,501,1,0
goose,502,1,0
gown,503,1,0
graceful,504,1,0
gram,505,1,0
granddaughter,506,1,0
grandfather,507,1,0
grandmother,508,1,0
grandson,509,1,0
grape,510,1,0
grasshopper,511,1,0
gratitude,512,1,0
greedy,513,1,0
greet,514,1,0
guava,515,1,0
habit,516,1,0
haircut,517,1,0
hamburger,518,1,0
handkerchief,519,1,0
handsome,520,1,0
hanger,521,1,0
hateful,522,1,0
headache,523,1,0
heal,524,1,0
hedge,525,1,0
hen,526,1,0
heroine,527,1,0
hers,528,1,0
hike,529,1,0
hippopotamus,530,1,0
homesick,531,1,0
honesty,532,1,0
hostess,533,1,0
howl,534,1,0
httpswwwnaeredutwfi,535,1,0
hualian,536,1,0
humble,537,1,0
humid,538,1,0
humiliate,539,1,0
humorous,540,1,0
hurry,541,1,0
incline,542,1,0
inflict,543,1,0
injure,544,1,0
insect,545,1,0
insist,546,1,0
inspire,547,1,0
interpret,548,1,0
interrupt,549,1,0
intrinsic,550,1,0
invariable,551,1,0
invent,552,1,0
itch,553,1,0
jealous,554,1,0
jockey,555,1,0
jog,556,1,0
joyous,557,1,0
judgmentjudgement,558,1,0
kangaroo,559,1,0
kaohsiung,560,1,0
ketchup,561,1,0
kilogram,562,1,0
kilometer,563,1,0
kindergarten,564,1,0
kite,565,1,0
kitten,566,1,0
koala,567,1,0
ktv,568,1,0
lantern,569,1,0
lend,570,1,0
lettuce,571,1,0
lick,572,1,0
lighthouse,573,1,0
liquor,574,1,0
liter,575,1,0
literate,576,1,0
loaf,577,1,0
loser,578,1,0
magician,579,1,0
majesty,580,1,0
mandarin,581,1,0
mango,582,1,0
marry,583,1,0
marvelous,584,1,0
mechanic,585,1,0
melon,586,1,0
metaphor,587,1,0
millionaire,588,1,0
mop,589,1,0
mosquito,590,1,0
mrt,591,1,0
mule,592,1,0
multiply,593,1,0
mumble,594,1,0
murmur,595,1,0
muscular,596,1,0
napkin,597,1,0
nephew,598,1,0
niece,599,1,0
nineteen,600,1,0
ninety,601,1,0
nod,602,1,0
noisy,603,1,0
nominee,604,1,0
nonetheless,605,1,0
noodle,606,1,0
nostril,607,1,0
notwithstanding,608,1,0
noun,609,1,0
nourishment,610,1,0
obey,611,1,0
omit,612,1,0
optimistic,613,1,0
overpass,614,1,0
ox,615,1,0
painter,616,1,0
pajamas,617,1,0
panda,618,1,0
papaya,619,1,0
pardon,620,1,0
parrot,621,1,0
pause,622,1,0
peach,623,1,0
pear,624,1,0
persist,625,1,0
philosophical,626,1,0
pianist,627,1,0
pickpocket,628,1,0
pigeon,629,1,0
pile,630,1,0
pilgrim,631,1,0
pineapple,632,1,0
playground,633,1,0
policeman,634,1,0
policewoman,635,1,0
polite,636,1,0
pollute,637,1,0
popcorn,638,1,0
prohibit,639,1,0
prohibition,640,1,0
pron,641,1,0
pronounce,642,1,0
pronunciation,643,1,0
pumpkin,644,1,0
punish,645,1,0
rainy,646,1,0
realism,647,1,0
rectangle,648,1,0
recycle,649,1,0
regret,650,1,0
reluctant,651,1,0
restroom,652,1,0
restructure,653,1,0
revise,654,1,0
revival,655,1,0
revive,656,1,0
riddle,657,1,0
ridiculous,658,1,0
rifle,659,1,0
ripple,660,1,0
rub,661,1,0
rude,662,1,0
ruin,663,1,0
ruler,664,1,0
sailor,665,1,0
salesperson,666,1,0
saucer,667,1,0
scarf,668,1,0
scooter,669,1,0
seesaw,670,1,0
seldom,671,1,0
selfish,672,1,0
servant,673,1,0
setback,674,1,0
seventeen,675,1,0
seventy,676,1,0
sew,677,1,0
shameful,678,1,0
shave,679,1,0
shaver,680,1,0
shout,681,1,0
shrimp,682,1,0
shy,683,1,0
sidewalk,684,1,0
sincere,685,1,0
sixteen,686,1,0
sixty,687,1,0
skate,688,1,0
skeptical,689,1,0
skillful,690,1,0
skim,691,1,0
skinny,692,1,0
slap,693,1,0
slavery,694,1,0
slay,695,1,0
sleepy,696,1,0
slender,697,1,0
slice,698,1,0
slipper,699,1,0
snack,700,1,0
snail,701,1,0
sneaker,702,1,0
sneaky,703,1,0
snowy,704,1,0
sock,705,1,0
soda,706,1,0
sore,707,1,0
sour,708,1,0
soy,709,1,0
spaghetti,710,1,0
spoon,711,1,0
stair,712,1,0
stationary,713,1,0
stature,714,1,0
steak,715,1,0
stingy,716,1,0
stomachache,717,1,0
stormy,718,1,0
stove,719,1,0
straightforward,720,1,0
straw,721,1,0
strawberry,722,1,0
subway,723,1,0
supermarket,724,1,0
supper,725,1,0
swallow,726,1,0
swan,727,1,0
sweater,728,1,0
sweep,729,1,0
swimsuit,730,1,0
taichung,731,1,0
tainan,732,1,0
taiwanese,733,1,0
talkative,734,1,0
tangerine,735,1,0
teapot,736,1,0
teenager,737,1,0
telephonephone,738,1,0
televisiontv,739,1,0
temper,740,1,0
terrific,741,1,0
thief,742,1,0
thirsty,743,1,0
thirteen,744,1,0
tidy,745,1,0
toast,746,1,0
tofu,747,1,0
tolerable,748,1,0
toothache,749,1,0
toothbrush,750,1,0
towel,751,1,0
troop,752,1,0
tropic,753,1,0
trousers,754,1,0
trumpet,755,1,0
tuck,756,1,0
typhoon,757,1,0
umbrella,758,1,0
undergo,759,1,0
underline,760,1,0
underpass,761,1,0
upstairs,762,1,0
verb,763,1,0
vest,764,1,0
vinegar,765,1,0
voter,766,1,0
waist,767,1,0
waiter,768,1,0
waitress,769,1,0
waken,770,1,0
waterfall,771,1,0
watermelon,772,1,0
wealthy,773,1,0
weekday,774,1,0
whereby,775,1,0
widen,776,1,0
windy,777,1,0
withdraw,778,1,0
wither,779,1,0
wok,780,1,0
workbook,781,1,0
yesyeah,782,1,0
yummy,783,1,0
zebra,784,1,0
test,785,1,502
friend,786,1,503
come,787,1,504
study,788,1,508
again,789,1,515
play,790,1,516
april,791,1,519
never,792,1,520
complete,793,1,522
street,794,1,523
topic,795,1,524
against,796,1,529
standard,797,1,530
person,798,1,532
below,799,1,533
less,800,1,535
party,801,1,538
student,802,1,542
let,803,1,543
legal,804,1,546
above,805,1,547
recent,806,1,548
park,807,1,549
side,808,1,551
act,809,1,552
problem,810,1,553
red,811,1,554
give,812,1,555
memory,813,1,556
social,814,1,558
august,815,1,560
language,816,1,562
