word,unified_rank,moe_level,ngsl_rank
think,260.0,1,325
north,260.8,1,326
current,262.40000000000003,1,328
big,264.0,1,330
media,264.8,1,331
law,265.6,1,332
control,266.40000000000003,1,333
water,267.2,1,334
history,268.0,1,335
size,269.6,1,337
art,270.40000000000003,1,338
personal,271.2,1,339
since,272.0,1,340
including,272.8,1,341
guide,273.6,1,342
shop,274.40000000000003,1,343
directory,275.2,1,344
board,276.0,1,345
location,276.8,1,346
change,277.6,1,347
white,278.40000000000003,1,348
text,279.2,1,349
small,280.0,1,350
rate,281.6,1,352
government,282.40000000000003,1,353
children,283.2,1,354
during,284.0,1,355
return,285.6,1,357
shopping,288.0,1,360
account,288.8,1,361
level,291.2,1,364
digital,292.0,1,365
previous,293.6,1,367
form,294.40000000000003,1,368
events,295.2,1,369
love,296.0,1,370
old,296.8,1,371
john,297.6,1,372
main,298.40000000000003,1,373
call,299.2,1,374
hours,300.0,1,375
image,300.8,1,376
department,301.6,1,377
title,302.40000000000003,1,378
description,303.2,1,379
insurance,306.40000000000003,1,383
another,307.20000000000005,1,384
why,308.0,1,385
shall,308.8,1,386
property,309.6,1,387
class,310.40000000000003,1,388
cd,311.20000000000005,1,389
still,312.0,1,390
money,312.8,1,391
quality,313.6,1,392
every,314.40000000000003,1,393
content,316.0,1,395
country,316.8,1,396
private,317.6,1,397
little,318.40000000000003,1,398
visit,319.20000000000005,1,399
save,320.0,1,400
low,321.6,1,402
reply,322.40000000000003,1,403
customer,323.20000000000005,1,404
december,324.0,1,405
compare,324.8,1,406
include,326.40000000000003,1,408
college,327.20000000000005,1,409
value,328.0,1,410
article,328.8,1,411
man,330.40000000000003,1,413
card,331.20000000000005,1,414
jobs,332.0,1,415
provide,332.8,1,416
food,334.40000000000003,1,418
source,335.20000000000005,1,419
author,336.0,1,420
different,336.8,1,421
press,337.6,1,422
learn,339.20000000000005,1,424
sale,340.0,1,425
around,340.8,1,426
print,341.6,1,427
course,342.40000000000003,1,428
job,343.20000000000005,1,429
canada,344.0,1,430
process,344.8,1,431
room,346.40000000000003,1,433
stock,347.20000000000005,1,434
training,348.0,1,435
too,348.8,1,436
credit,349.6,1,437
point,350.40000000000003,1,438
join,351.20000000000005,1,439
science,352.0,1,440
categories,353.6,1,442
advanced,354.40000000000003,1,443
west,355.20000000000005,1,444
look,356.8,1,446
english,357.6,1,447
left,358.40000000000003,1,448
team,359.20000000000005,1,449
estate,360.0,1,450
box,360.8,1,451
conditions,361.6,1,452
select,362.40000000000003,1,453
gay,364.8,1,456
thread,365.6,1,457
week,366.40000000000003,1,458
category,367.20000000000005,1,459
note,368.0,1,460
live,368.8,1,461
large,369.6,1,462
gallery,370.40000000000003,1,463
table,371.20000000000005,1,464
register,372.0,1,465
however,372.8,1,466
june,373.6,1,467
october,374.40000000000003,1,468
november,375.20000000000005,1,469
market,376.0,1,470
library,376.8,1,471
really,377.6,1,472
action,378.40000000000003,1,473
start,379.20000000000005,1,474
model,380.8,1,476
features,381.6,1,477
air,382.40000000000003,1,478
industry,383.20000000000005,1,479
plan,384.0,1,480
human,384.8,1,481
provided,385.6,1,482
tv,386.40000000000003,1,483
yes,387.20000000000005,1,484
second,388.8,1,486
hot,389.6,1,487
accessories,390.40000000000003,1,488
cost,391.20000000000005,1,489
movie,392.0,1,490
forums,392.8,1,491
march,393.6,1,492
september,395.20000000000005,1,494
better,396.0,1,495
say,396.8,1,496
july,398.40000000000003,1,498
going,400.0,1,500
medical,400.8,1,501
test,401.6,1,502
friend,402.40000000000003,1,503
come,403.20000000000005,1,504
dec,404.0,1,505
study,406.40000000000003,1,508
application,407.20000000000005,1,509
cart,408.0,1,510
staff,408.8,1,511
articles,409.6,1,512
feedback,411.20000000000005,1,514
again,412.0,1,515
play,412.8,1,516
april,415.20000000000005,1,519
never,416.0,1,520
complete,417.6,1,522
street,418.40000000000003,1,523
topic,419.20000000000005,1,524
comment,420.0,1,525
financial,420.8,1,526
working,422.40000000000003,1,528
against,423.20000000000005,1,529
standard,424.0,1,530
tax,424.8,1,531
person,425.6,1,532
below,426.40000000000003,1,533
mobile,427.20000000000005,1,534
less,428.0,1,535
got,428.8,1,536
blog,429.6,1,537
party,430.40000000000003,1,538
payment,431.20000000000005,1,539
equipment,432.0,1,540
student,433.6,1,542
let,434.40000000000003,1,543
legal,436.8,1,546
above,437.6,1,547
recent,438.40000000000003,1,548
park,439.20000000000005,1,549
side,440.8,1,551
act,441.6,1,552
problem,442.40000000000003,1,553
give,444.0,1,555
memory,444.8,1,556
performance,445.6,1,557
social,446.40000000000003,1,558
august,448.0,1,560
quote,448.8,1,561
language,449.6,1,562
story,450.40000000000003,1,563
sell,451.20000000000005,1,564
experience,452.8,1,566
create,454.40000000000003,1,568
key,455.20000000000005,1,569
body,456.0,1,570
young,456.8,1,571
america,457.6,1,572
important,458.40000000000003,1,573
field,459.20000000000005,1,574
few,460.0,1,575
east,460.8,1,576
paper,461.6,1,577
single,462.40000000000003,1,578
age,464.0,1,580
activities,464.8,1,581
club,465.6,1,582
example,466.40000000000003,1,583
girls,467.20000000000005,1,584
additional,468.0,1,585
latest,470.40000000000003,1,588
something,471.20000000000005,1,589
road,472.0,1,590
gift,472.8,1,591
question,473.6,1,592
changes,474.40000000000003,1,593
night,475.20000000000005,1,594
hard,476.8,1,596
pay,479.20000000000005,1,599
four,480.0,1,600
status,481.6,1,602
browse,482.40000000000003,1,603
issue,483.20000000000005,1,604
range,484.0,1,605
building,484.8,1,606
court,486.40000000000003,1,608
february,487.20000000000005,1,609
always,488.0,1,610
result,488.8,1,611
audio,489.6,1,612
light,490.40000000000003,1,613
write,491.20000000000005,1,614
war,492.0,1,615
offer,493.6,1,617
blue,494.40000000000003,1,618
groups,495.20000000000005,1,619
easy,496.8,1,621
given,497.6,1,622
files,498.40000000000003,1,623
event,499.20000000000005,1,624
release,500.0,1,625
analysis,500.8,1,626
request,501.6,1,627
fax,502.40000000000003,1,628
china,503.20000000000005,1,629
picture,504.8,1,631
possible,506.40000000000003,1,633
might,507.20000000000005,1,634
professional,508.0,1,635
yet,508.8,1,636
month,509.6,1,637
major,510.40000000000003,1,638
star,511.20000000000005,1,639
areas,512.0,1,640
future,512.8000000000001,1,641
space,513.6,1,642
committee,514.4,1,643
hand,515.2,1,644
sun,516.0,1,645
cards,516.8000000000001,1,646
meeting,520.0,1,650
become,521.6,1,652
interest,522.4,1,653
child,524.0,1,655
keep,524.8000000000001,1,656
enter,525.6,1,657
california,526.4,1,658
share,528.0,1,660
similar,528.8000000000001,1,661
